Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,Requirement_Title,Estimated_Value,Priority_Level,Status,Contract_Type,Anticipated_Set_Aside,Recompete,Incumbent_Contractor,Planned_Award_Quarter,Predicted_Days_to_Award,Predicted_Award_Amount,Predicted_Protest_Probability,Oversight_Probability,Composite_Risk_Score
FCST-000001,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 1,Medical Equipment,Medical Equipment Requirement - VISN 2 Medical Center Main FY2027,56850.75,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,97.0,58340.0,0.117,0.009,23.8
FCST-000002,2027,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 1,Transportation,Transportation Requirement - VISN 16 Medical Center South FY2027,177001.06,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Solutions,FY Q2,99.0,187264.0,0.147,0.035,31.2
FCST-000003,2027,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 3,Medical Equipment,Medical Equipment Requirement - VISN 16 Medical Center Main FY2027,1234851.2,Critical,Planning,Time and Materials,WOSB,No,,FY Q3,81.0,1.219901e+06,0.22,0.014,33.5
FCST-000004,2027,17,VISN 17 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,IT Services,IT Services Requirement - VISN 17 Medical Center South FY2027,229992.58,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,98.0,240338.0,0.3,0.085,36.7
FCST-000005,2027,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 12,Construction,Construction Requirement - VISN 16 Medical Center North FY2027,5093710.01,Critical,Draft Solicitation,Firm Fixed Price,SDVOSB,Yes,Cornerstone Federal Services,FY Q2,107.0,4.59522e+06,0.085,0.119,49.7
FCST-000006,2026,14,VISN 14 Medical Center Main,Network Contracting Office (NCO) 2,Food Service,Food Service Requirement - VISN 14 Medical Center Main FY2026,340572.0,Low,Planning,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q2,98.0,346798.0,0.073,0.25,32.0
FCST-000007,2027,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 5,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 9 Medical Center South FY2027,233111.79,Critical,Planning,Firm Fixed Price,SDVOSB,No,,FY Q4,76.0,232701.0,0.388,0.001,28.1
FCST-000008,2027,13,VISN 13 Medical Center Main,Technology Acquisition Center (TAC),Medical Equipment,Medical Equipment Requirement - VISN 13 Medical Center Main FY2027,1236990.68,Critical,Draft Solicitation,Firm Fixed Price,Small Business,Yes,Keystone Enterprises,FY Q4,80.0,1.224739e+06,0.413,0.013,39.1
FCST-000009,2027,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 4,IT Services,IT Services Requirement - VISN 9 Medical Center South FY2027,1261660.29,Medium,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q3,102.0,1.301552e+06,0.276,0.583,46.3
FCST-000010,2026,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 7,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center South FY2026,154203.44,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Sterling Industries,FY Q3,96.0,160523.0,0.24,0.032,31.8
FCST-000011,2027,8,VISN 8 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical Equipment,Medical Equipment Requirement - VISN 8 Medical Center Main FY2027,500226.05,Low,Planning,Time and Materials,Full and Open (No Set-Aside),No,,FY Q2,97.0,541143.0,0.396,0.222,43.2
FCST-000012,2027,6,VISN 6 Medical Center South,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 6 Medical Center South FY2027,658010.82,Low,Market Research,Time and Materials,SDVOSB,No,,FY Q4,78.0,649902.0,0.316,0.005,32.1
FCST-000013,2027,9,VISN 9 Medical Center Main,SAO East,Facilities Management,Facilities Management Requirement - VISN 9 Medical Center Main FY2027,227839.22,Low,On Hold,Time and Materials,SDVOSB,Yes,Cornerstone Consulting,FY Q3,74.0,221896.0,0.326,0.001,25.0
FCST-000014,2027,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 7,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 9 Medical Center East FY2027,65043.96,Low,Draft Solicitation,IDIQ,Small Business,Yes,Summit LLC,FY Q4,81.0,67343.0,0.079,0.0,14.8
FCST-000015,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 18,Construction,Construction Requirement - VISN 2 Medical Center Main FY2027,3316176.1,High,Market Research,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Vanguard Systems,FY Q4,109.0,3.386087e+06,0.157,0.802,51.4
FCST-000016,2026,10,VISN 10 Medical Center Main,National Acquisition Center (NAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 10 Medical Center Main FY2026,289058.42,Medium,On Hold,IDIQ,SDVOSB,Yes,Atlas Solutions,FY Q4,77.0,288012.0,0.349,0.001,28.2
FCST-000017,2026,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 18,Pharmaceuticals,Pharmaceuticals Requirement - VISN 18 Medical Center South FY2026,576533.72,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Summit Associates,FY Q3,76.0,590779.0,0.223,0.003,27.5
FCST-000018,2027,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 2,Professional Services,Professional Services Requirement - VISN 2 Medical Center Main FY2027,467337.32,Low,On Hold,Firm Fixed Price,SDVOSB,No,,FY Q1,76.0,479011.0,0.321,0.003,29.3
FCST-000019,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 14,Facilities Management,Facilities Management Requirement - VISN 8 Medical Center Main FY2026,204802.19,Medium,Planning,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Beacon Technologies,FY Q3,75.0,200668.0,0.152,0.001,19.7
FCST-000020,2026,4,VISN 4 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Professional Services,Professional Services Requirement - VISN 4 Medical Center North FY2026,253143.12,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Horizon Industries,FY Q2,97.0,273310.0,0.381,0.09,39.4
FCST-000021,2027,17,VISN 17 Medical Center West,Technology Acquisition Center (TAC),Professional Services,Professional Services Requirement - VISN 17 Medical Center West FY2027,163720.81,Low,Draft Solicitation,Firm Fixed Price,SDVOSB,No,,FY Q1,76.0,164214.0,0.334,0.001,24.6
FCST-000022,2026,9,VISN 9 Medical Center North,SAO West,Construction,Construction Requirement - VISN 9 Medical Center North FY2026,399622.67,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,97.0,431721.0,0.262,0.176,37.9
